,id,datum,m01ab,m01ae,n02ba,n02be,n05b,n05c,r03,r06,year,Drug Classification
549,3156,2015-05-07,5.0,4.34,4.2,14.0,10.0,0.0,1.0,4.0,2015,Musculo-Skeletal System Drugs
550,3157,2015-06-07,5.5,4.68,2.0,20.0,8.0,0.0,3.0,3.0,2015,Musculo-Skeletal System Drugs
551,3158,2015-07-07,4.84,4.68,2.3,19.6,5.0,0.0,3.0,7.0,2015,Musculo-Skeletal System Drugs
552,3159,2015-08-07,2.0,1.35,3.0,18.6,6.0,0.0,5.0,3.0,2015,Musculo-Skeletal System Drugs
553,3160,2015-09-07,2.34,1.67,2.0,32.75,4.0,0.0,0.0,5.0,2015,Musculo-Skeletal System Drugs
554,3161,2015-10-07,5.5,6.34,5.0,37.0,15.0,0.0,8.0,6.0,2015,Musculo-Skeletal System Drugs
555,3162,2015-11-07,4.0,2.33,4.9,45.0,9.0,0.0,2.0,10.0,2015,Musculo-Skeletal System Drugs
556,3163,2015-12-07,6.33,5.33,5.0,25.3,5.0,0.0,0.0,6.5,2015,Musculo-Skeletal System Drugs
557,3164,2015-07-13,3.68,0.66,8.0,22.55,5.0,0.0,0.0,3.0,2015,Musculo-Skeletal System Drugs
558,3165,2015-07-14,0.34,4.33,5.0,14.0,1.0,0.0,2.0,2.0,2015,Musculo-Skeletal System Drugs
559,3166,2015-07-15,8.49,1.66,4.0,20.2,5.0,0.0,1.0,9.0,2015,Musculo-Skeletal System Drugs
560,3167,2015-07-16,8.34,3.33,1.0,18.0,3.0,0.0,2.0,4.0,2015,Musculo-Skeletal System Drugs
561,3168,2015-07-17,2.5,1.33,1.0,28.0,3.0,0.0,0.0,2.3,2015,Musculo-Skeletal System Drugs
562,3169,2015-07-18,3.68,7.38,2.0,25.0,8.0,3.0,1.0,3.0,2015,Musculo-Skeletal System Drugs
563,3170,2015-07-19,11.68,1.68,2.0,15.0,1.0,0.0,1.0,3.0,2015,Musculo-Skeletal System Drugs
564,3171,2015-07-20,5.84,4.67,5.0,41.0,4.0,0.0,0.0,2.0,2015,Musculo-Skeletal System Drugs
565,3172,2015-07-21,4.68,1.0,3.2,14.25,7.0,0.0,1.0,4.0,2015,Musculo-Skeletal System Drugs
566,3173,2015-07-22,9.33,0.34,5.0,22.0,10.0,0.0,5.0,3.0,2015,Musculo-Skeletal System Drugs
567,3174,2015-07-23,1.5,4.0,3.0,14.0,3.0,0.0,0.0,2.0,2015,Musculo-Skeletal System Drugs
568,3175,2015-07-24,6.0,6.34,3.6,29.6,9.0,1.0,1.0,10.0,2015,Musculo-Skeletal System Drugs
569,3176,2015-07-25,4.0,4.0,5.0,22.0,7.0,1.0,0.0,4.0,2015,Musculo-Skeletal System Drugs
570,3177,2015-07-26,5.0,2.99,3.0,29.0,4.0,0.0,0.0,0.0,2015,Musculo-Skeletal System Drugs
571,3178,2015-07-27,7.34,3.34,7.0,24.0,9.0,0.0,0.0,1.5,2015,Musculo-Skeletal System Drugs
572,3179,2015-07-28,14.18,6.02,1.0,15.2,14.0,0.0,1.0,3.0,2015,Musculo-Skeletal System Drugs
573,3180,2015-07-29,10.34,3.34,4.0,21.378,8.0,0.0,2.0,1.0,2015,Musculo-Skeletal System Drugs
574,3181,2015-07-30,3.0,3.33,14.0,16.3,3.0,0.0,0.0,4.0,2015,Musculo-Skeletal System Drugs
575,3182,2015-07-31,5.5,9.0,6.2,24.0,8.0,0.0,0.0,6.0,2015,Musculo-Skeletal System Drugs
576,3183,2015-01-08,5.0,5.0,4.0,19.0,14.0,0.0,0.0,2.0,2015,Musculo-Skeletal System Drugs
577,3184,2015-02-08,5.0,6.7,4.0,15.0,9.0,0.0,0.0,2.0,2015,Musculo-Skeletal System Drugs
578,3185,2015-03-08,1.5,2.33,1.5,23.0,3.5,1.0,5.0,1.0,2015,Musculo-Skeletal System Drugs
579,3186,2015-04-08,6.34,2.33,3.0,23.0,5.0,1.0,0.0,4.0,2015,Musculo-Skeletal System Drugs
580,3187,2015-05-08,5.0,3.33,4.2,22.2,3.5,0.0,0.0,1.0,2015,Musculo-Skeletal System Drugs
581,3188,2015-06-08,5.33,1.67,8.0,35.0,11.0,0.0,3.0,2.0,2015,Musculo-Skeletal System Drugs
582,3189,2015-07-08,4.33,4.0,6.0,22.0,9.0,2.0,1.0,6.0,2015,Musculo-Skeletal System Drugs
583,3190,2015-08-08,6.33,5.33,7.0,22.0,5.0,0.0,0.0,0.7,2015,Musculo-Skeletal System Drugs
584,3191,2015-09-08,5.0,3.66,2.0,21.0,5.0,0.0,2.0,3.0,2015,Musculo-Skeletal System Drugs
585,3192,2015-10-08,3.67,5.68,4.2,29.0,12.5,0.0,1.0,5.0,2015,Musculo-Skeletal System Drugs
586,3193,2015-11-08,12.33,6.66,7.4,18.1,10.0,0.0,0.0,4.0,2015,Musculo-Skeletal System Drugs
587,3194,2015-12-08,8.67,7.693,4.0,28.2,9.5,0.0,1.0,1.0,2015,Musculo-Skeletal System Drugs
588,3195,2015-08-13,8.0,2.0,6.0,23.438000000000002,9.0,0.0,3.0,3.0,2015,Musculo-Skeletal System Drugs
589,3196,2015-08-14,3.0,4.66,4.0,16.7,5.0,0.0,1.0,4.0,2015,Musculo-Skeletal System Drugs
590,3197,2015-08-15,3.34,6.34,6.0,35.0,14.0,1.0,1.0,1.0,2015,Musculo-Skeletal System Drugs
591,3198,2015-08-16,2.0,4.67,2.0,19.25,4.0,2.0,0.0,2.0,2015,Musculo-Skeletal System Drugs
592,3199,2015-08-17,8.0,3.0,3.0,33.0,6.0,0.0,0.0,2.0,2015,Musculo-Skeletal System Drugs
593,3200,2015-08-18,6.01,2.67,3.0,24.0,16.0,0.0,3.0,1.0,2015,Musculo-Skeletal System Drugs
594,3201,2015-08-19,6.33,2.66,8.0,28.0,15.0,0.0,3.0,3.0,2015,Musculo-Skeletal System Drugs
595,3202,2015-08-20,3.5,3.68,5.0,19.0,6.0,1.0,0.0,0.0,2015,Musculo-Skeletal System Drugs
596,3203,2015-08-21,6.0,0.67,3.0,34.0,8.0,1.0,1.0,4.0,2015,Musculo-Skeletal System Drugs
597,3204,2015-08-22,2.34,6.736000000000001,4.0,28.0,6.0,3.0,1.0,6.0,2015,Musculo-Skeletal System Drugs
598,3205,2015-08-23,8.99,5.33,3.0,28.0,8.0,0.0,2.0,2.0,2015,Musculo-Skeletal System Drugs
599,3206,2015-08-24,8.5,3.66,3.4,45.1,8.0,0.0,0.0,1.0,2015,Musculo-Skeletal System Drugs
600,3207,2015-08-25,2.34,2.67,4.0,23.5,20.0,0.0,1.0,3.0,2015,Musculo-Skeletal System Drugs
601,3208,2015-08-26,2.67,4.02,7.3,27.0,7.0,0.0,1.0,6.0,2015,Musculo-Skeletal System Drugs
602,3209,2015-08-27,9.33,3.0,4.5,32.0,8.0,0.0,0.0,3.0,2015,Musculo-Skeletal System Drugs
603,3210,2015-08-28,7.0,8.67,1.0,15.1,12.0,0.0,0.0,3.0,2015,Musculo-Skeletal System Drugs
604,3211,2015-08-29,10.84,10.34,4.0,23.2,4.0,3.0,3.0,2.0,2015,Musculo-Skeletal System Drugs
605,3212,2015-08-30,11.0,6.02,3.5,21.0,3.0,0.0,6.0,4.0,2015,Musculo-Skeletal System Drugs
606,3213,2015-08-31,4.0,9.34,3.4,38.0,9.5,0.0,6.0,2.0,2015,Musculo-Skeletal System Drugs
607,3214,2015-01-09,8.18,2.84,4.4,28.25,8.0,0.0,0.0,3.0,2015,Musculo-Skeletal System Drugs
608,3215,2015-02-09,5.33,7.0,3.0,31.3,9.5,0.0,5.0,5.0,2015,Musculo-Skeletal System Drugs
609,3216,2015-03-09,1.34,3.68,2.2,19.0,13.0,0.0,4.0,2.0,2015,Musculo-Skeletal System Drugs
610,3217,2015-04-09,3.34,2.68,3.1,20.0,8.0,1.0,1.0,2.0,2015,Musculo-Skeletal System Drugs
611,3218,2015-05-09,8.83,6.01,3.2,20.0,10.5,1.0,6.0,4.0,2015,Musculo-Skeletal System Drugs
612,3219,2015-06-09,8.33,9.67,6.0,23.6,8.0,1.0,0.0,3.0,2015,Musculo-Skeletal System Drugs
613,3220,2015-07-09,4.34,6.124,2.5,32.8,7.0,1.0,5.0,2.0,2015,Musculo-Skeletal System Drugs
614,3221,2015-08-09,2.67,1.693,5.0,29.2,4.0,0.0,2.0,4.0,2015,Musculo-Skeletal System Drugs
615,3222,2015-09-09,2.0,3.0,1.0,34.7,8.0,0.0,2.0,2.0,2015,Musculo-Skeletal System Drugs
616,3223,2015-10-09,6.0,3.99,4.2,21.2,18.0,0.0,2.0,2.0,2015,Musculo-Skeletal System Drugs
617,3224,2015-11-09,11.33,5.0,9.0,30.0,9.0,0.0,2.0,2.0,2015,Musculo-Skeletal System Drugs
618,3225,2015-12-09,4.66,7.66,5.2,63.3,6.0,3.0,0.0,2.0,2015,Musculo-Skeletal System Drugs
619,3226,2015-09-13,7.33,6.165,7.2,25.0,4.0,0.0,11.0,3.0,2015,Musculo-Skeletal System Drugs
620,3227,2015-09-14,4.68,5.0,1.0,31.3,14.0,0.0,0.0,0.0,2015,Musculo-Skeletal System Drugs
621,3228,2015-09-15,3.33,5.0760000000000005,4.2,23.8,7.5,0.0,6.0,5.0,2015,Musculo-Skeletal System Drugs
622,3229,2015-09-16,0.67,4.835,2.2,16.6,6.0,0.0,2.0,1.0,2015,Musculo-Skeletal System Drugs
623,3230,2015-09-17,9.83,6.33,0.0,35.5,3.0,0.0,1.0,2.0,2015,Musculo-Skeletal System Drugs
624,3231,2015-09-18,3.34,1.33,3.0,16.0,4.0,0.0,4.0,3.0,2015,Musculo-Skeletal System Drugs
625,3232,2015-09-19,6.83,0.99,7.0,37.0,7.0,0.0,4.0,5.0,2015,Musculo-Skeletal System Drugs
626,3233,2015-09-20,9.99,3.99,6.5,28.9,15.0,0.0,0.0,2.0,2015,Musculo-Skeletal System Drugs
627,3234,2015-09-21,2.0,10.0,2.0,46.7,6.0,0.0,0.0,2.0,2015,Musculo-Skeletal System Drugs
628,3235,2015-09-22,6.99,1.33,4.0,19.5,10.0,2.0,5.0,5.0,2015,Musculo-Skeletal System Drugs
629,3236,2015-09-23,6.16,4.056,3.3,34.65,7.0,0.0,2.0,1.0,2015,Musculo-Skeletal System Drugs
630,3237,2015-09-24,2.99,4.34,4.2,37.6,7.0,0.0,0.0,0.0,2015,Musculo-Skeletal System Drugs
631,3238,2015-09-25,4.83,4.98,5.2,25.2,11.0,0.0,1.0,3.0,2015,Musculo-Skeletal System Drugs
632,3239,2015-09-26,12.42,3.33,2.5,33.0,6.0,1.0,7.0,2.0,2015,Musculo-Skeletal System Drugs
633,3240,2015-09-27,5.83,3.0,2.3,10.425,3.0,1.0,2.0,1.0,2015,Musculo-Skeletal System Drugs
634,3241,2015-09-28,1.0,1.33,2.0,15.4,8.0,0.0,17.0,2.0,2015,Musculo-Skeletal System Drugs
635,3242,2015-09-29,6.33,4.363,1.0,39.7,7.0,0.0,0.0,0.0,2015,Musculo-Skeletal System Drugs
636,3243,2015-09-30,5.32,4.33,4.0,22.5,9.0,0.0,0.0,1.0,2015,Musculo-Skeletal System Drugs
637,3244,2015-01-10,9.66,5.99,4.0,34.562,2.0,0.0,5.0,2.0,2015,Musculo-Skeletal System Drugs
638,3245,2015-02-10,5.0,4.726,4.0,37.3,5.0,0.0,5.0,1.0,2015,Musculo-Skeletal System Drugs
639,3246,2015-03-10,10.34,5.34,3.0,37.2,7.0,0.0,7.0,2.0,2015,Musculo-Skeletal System Drugs
640,3247,2015-04-10,7.0,4.0,4.0,59.0,3.0,0.0,16.0,2.0,2015,Musculo-Skeletal System Drugs
641,3248,2015-05-10,5.0,2.373,2.2,70.95,11.0,1.0,7.0,5.0,2015,Musculo-Skeletal System Drugs
642,3249,2015-06-10,5.69,3.66,5.5,42.725,9.0,1.0,5.0,4.0,2015,Musculo-Skeletal System Drugs
643,3250,2015-07-10,7.33,2.66,6.0,44.3,8.0,0.0,5.0,2.0,2015,Musculo-Skeletal System Drugs
644,3251,2015-08-10,8.82,4.33,3.0,30.7,5.0,0.0,20.0,0.0,2015,Musculo-Skeletal System Drugs
645,3252,2015-09-10,2.0,2.7689999999999997,7.6,28.061999999999998,13.0,2.0,10.0,2.0,2015,Musculo-Skeletal System Drugs
646,3253,2015-10-10,6.16,5.66,3.0,46.3,19.5,0.0,1.0,0.0,2015,Musculo-Skeletal System Drugs
647,3254,2015-11-10,10.33,2.792,7.1,70.3,8.0,0.0,3.0,5.0,2015,Musculo-Skeletal System Drugs
648,3255,2015-12-10,9.66,7.33,6.0,68.85,12.0,0.0,5.0,3.0,2015,Musculo-Skeletal System Drugs
649,3256,2015-10-13,3.83,7.0,5.2,63.8,5.5,0.0,5.0,1.0,2015,Musculo-Skeletal System Drugs
650,3257,2015-10-14,4.66,7.33,3.9,38.6,7.0,0.0,0.0,1.0,2015,Musculo-Skeletal System Drugs
651,3258,2015-10-15,5.16,5.726,7.3,64.72399999999999,4.0,0.0,9.0,1.0,2015,Musculo-Skeletal System Drugs
652,3259,2015-10-16,1.67,3.33,5.2,57.3,2.0,0.0,5.0,1.0,2015,Musculo-Skeletal System Drugs
653,3260,2015-10-17,10.34,2.8369999999999997,3.4,74.3,8.0,0.0,0.0,1.0,2015,Musculo-Skeletal System Drugs
654,3261,2015-10-18,7.34,6.54,4.9,55.6,3.0,1.0,8.0,8.0,2015,Musculo-Skeletal System Drugs
655,3262,2015-10-19,12.0,3.802,3.0,62.6,3.0,0.0,17.0,0.0,2015,Musculo-Skeletal System Drugs
656,3263,2015-10-20,3.34,1.99,2.3,44.7,6.0,0.0,10.0,5.0,2015,Musculo-Skeletal System Drugs
657,3264,2015-10-21,8.66,2.363,3.2,36.8,9.0,1.0,1.0,4.0,2015,Musculo-Skeletal System Drugs
658,3265,2015-10-22,4.33,0.34,0.0,35.262,9.0,0.0,2.0,2.0,2015,Musculo-Skeletal System Drugs
659,3266,2015-10-23,7.0,1.66,10.2,41.4,3.0,0.0,6.0,2.0,2015,Musculo-Skeletal System Drugs
660,3267,2015-10-24,9.84,8.35,9.1,67.4,8.0,0.0,4.0,2.0,2015,Musculo-Skeletal System Drugs
661,3268,2015-10-25,3.0,3.33,3.1,64.6,4.0,0.0,0.0,4.0,2015,Musculo-Skeletal System Drugs
662,3269,2015-10-26,9.0,5.33,8.0,53.3,8.0,1.0,2.0,2.0,2015,Musculo-Skeletal System Drugs
663,3270,2015-10-27,4.33,2.0,8.5,64.4,7.0,0.0,8.0,3.0,2015,Musculo-Skeletal System Drugs
664,3271,2015-10-28,1.0,1.66,1.0,33.0,11.0,1.0,6.0,2.0,2015,Musculo-Skeletal System Drugs
665,3272,2015-10-29,2.33,3.693,1.3,38.3,8.0,0.0,0.0,1.0,2015,Musculo-Skeletal System Drugs
666,3273,2015-10-30,5.33,3.67,3.2,49.6,8.0,0.0,5.0,3.0,2015,Musculo-Skeletal System Drugs
667,3274,2015-10-31,5.66,4.65,8.0,58.4,6.0,0.0,7.0,1.0,2015,Musculo-Skeletal System Drugs
668,3275,2015-01-11,2.33,7.99,5.6,80.4,11.0,0.0,5.0,0.0,2015,Musculo-Skeletal System Drugs
669,3276,2015-02-11,4.66,4.33,4.0,46.3,7.0,0.0,7.0,2.0,2015,Musculo-Skeletal System Drugs
670,3277,2015-03-11,1.34,4.35,4.3,41.8,5.0,0.0,3.0,0.0,2015,Musculo-Skeletal System Drugs
671,3278,2015-04-11,8.5,2.34,3.0,59.8,18.0,3.0,3.0,4.0,2015,Musculo-Skeletal System Drugs
672,3279,2015-05-11,4.33,3.5610000000000004,7.4,45.0,3.0,0.0,0.0,2.0,2015,Musculo-Skeletal System Drugs
673,3280,2015-06-11,3.33,6.736000000000001,4.0,31.475,5.0,2.0,1.0,0.0,2015,Musculo-Skeletal System Drugs
674,3281,2015-07-11,4.0,3.11,4.8,69.9,15.0,1.0,6.0,1.0,2015,Musculo-Skeletal System Drugs
675,3282,2015-08-11,6.33,3.67,7.2,48.6,7.0,0.0,13.0,1.0,2015,Musculo-Skeletal System Drugs
676,3283,2015-09-11,3.66,6.1979999999999995,4.2,40.75,3.0,1.0,12.0,1.0,2015,Musculo-Skeletal System Drugs
677,3284,2015-10-11,6.33,7.482,10.0,41.2,8.0,0.0,9.0,2.0,2015,Musculo-Skeletal System Drugs
678,3285,2015-11-11,9.66,5.34,7.2,60.0,4.0,0.0,12.0,3.0,2015,Musculo-Skeletal System Drugs
679,3286,2015-12-11,6.0,4.33,6.0,24.0,11.0,0.0,20.0,0.0,2015,Musculo-Skeletal System Drugs
680,3287,2015-11-13,5.0,2.44,2.0,22.0,13.0,0.0,0.0,0.0,2015,Musculo-Skeletal System Drugs
681,3288,2015-11-14,4.99,0.33,3.7,19.0,5.0,1.0,0.0,1.0,2015,Musculo-Skeletal System Drugs
682,3289,2015-11-15,1.33,11.99,9.3,42.35,8.0,2.0,17.0,0.0,2015,Musculo-Skeletal System Drugs
683,3290,2015-11-16,5.67,3.67,6.0,50.3,9.0,0.0,3.0,2.0,2015,Musculo-Skeletal System Drugs
684,3291,2015-11-17,6.34,4.6930000000000005,4.7,60.0,1.0,0.0,0.0,2.0,2015,Musculo-Skeletal System Drugs
685,3292,2015-11-18,6.34,5.33,5.5,24.5,11.0,0.0,0.0,2.0,2015,Musculo-Skeletal System Drugs
686,3293,2015-11-19,2.0,2.99,2.1,26.4,22.0,0.0,0.0,0.0,2015,Musculo-Skeletal System Drugs
687,3294,2015-11-20,5.66,1.66,3.8,25.6,2.0,2.0,10.0,3.0,2015,Musculo-Skeletal System Drugs
688,3295,2015-11-21,4.0,2.01,5.2,45.5,4.0,0.0,17.0,3.0,2015,Musculo-Skeletal System Drugs
689,3296,2015-11-22,2.0,3.4389999999999996,2.6,41.2,6.0,2.0,2.0,1.0,2015,Musculo-Skeletal System Drugs
690,3297,2015-11-23,3.0,1.0,4.7,69.0,3.0,0.0,1.0,2.0,2015,Musculo-Skeletal System Drugs
691,3298,2015-11-24,5.0,6.33,6.4,19.8,12.0,3.0,1.0,5.0,2015,Musculo-Skeletal System Drugs
692,3299,2015-11-25,5.66,5.33,3.2,29.0,11.0,0.0,3.0,3.0,2015,Musculo-Skeletal System Drugs
693,3300,2015-11-26,4.33,4.0,2.0,25.975,8.0,0.0,0.0,0.0,2015,Musculo-Skeletal System Drugs
694,3301,2015-11-27,0.67,4.373,2.0,20.8,7.0,0.0,0.0,0.0,2015,Musculo-Skeletal System Drugs
695,3302,2015-11-28,6.33,3.66,4.0,46.825,3.0,0.0,10.0,1.0,2015,Musculo-Skeletal System Drugs
696,3303,2015-11-29,6.66,3.7260000000000004,6.0,42.2,1.0,0.0,4.0,0.0,2015,Musculo-Skeletal System Drugs
697,3304,2015-11-30,7.33,1.825,5.0,35.3,5.0,1.0,6.0,3.0,2015,Musculo-Skeletal System Drugs
698,3305,2015-01-12,1.99,2.023,6.3,23.9,4.0,1.0,5.0,1.0,2015,Musculo-Skeletal System Drugs
699,3306,2015-02-12,1.0,3.33,2.4,42.0,23.0,4.0,0.0,0.0,2015,Musculo-Skeletal System Drugs
700,3307,2015-03-12,4.0,3.0,5.6,56.0,6.0,1.0,1.0,1.0,2015,Musculo-Skeletal System Drugs
701,3308,2015-04-12,3.33,4.7589999999999995,4.7,25.6,9.0,3.0,3.0,1.0,2015,Musculo-Skeletal System Drugs
702,3309,2015-05-12,8.0,3.033,2.0,35.05,2.0,0.0,7.0,2.33,2015,Musculo-Skeletal System Drugs
703,3310,2015-06-12,5.67,7.0,3.4,60.4,5.0,2.0,3.0,1.0,2015,Musculo-Skeletal System Drugs
704,3311,2015-07-12,3.0,2.099,2.2,26.5,6.0,1.0,11.0,6.0,2015,Musculo-Skeletal System Drugs
705,3312,2015-08-12,2.0,6.34,2.0,41.325,8.0,0.0,0.0,0.0,2015,Musculo-Skeletal System Drugs
706,3313,2015-09-12,3.34,3.472,7.0,41.262,16.0,0.0,3.0,1.0,2015,Musculo-Skeletal System Drugs
707,3314,2015-10-12,11.66,10.69,16.0,31.9,9.0,0.0,9.0,2.1,2015,Musculo-Skeletal System Drugs
708,3315,2015-11-12,5.84,6.165,3.0,22.7,9.0,0.0,16.0,1.0,2015,Musculo-Skeletal System Drugs
709,3316,2015-12-12,6.34,3.2,3.0,42.2,5.0,2.0,6.0,1.0,2015,Musculo-Skeletal System Drugs
710,3317,2015-12-13,9.33,4.32,7.0,29.0,5.0,0.0,27.0,0.0,2015,Musculo-Skeletal System Drugs
711,3318,2015-12-14,5.0,3.0,6.6,37.4,11.0,0.0,21.0,1.0,2015,Musculo-Skeletal System Drugs
712,3319,2015-12-15,4.99,2.0,5.0,42.0,3.0,1.0,2.0,1.0,2015,Musculo-Skeletal System Drugs
713,3320,2015-12-16,6.67,4.0,4.0,42.0,11.0,1.0,11.0,0.0,2015,Musculo-Skeletal System Drugs
714,3321,2015-12-17,9.0,3.01,3.0,25.0,7.0,0.0,0.0,2.0,2015,Musculo-Skeletal System Drugs
715,3322,2015-12-18,4.33,8.901,4.3,27.2,12.0,4.0,2.0,1.0,2015,Musculo-Skeletal System Drugs
716,3323,2015-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Musculo-Skeletal System Drugs
717,3324,2015-12-20,3.0,3.4739999999999998,2.2,43.0,3.0,0.0,16.0,1.0,2015,Musculo-Skeletal System Drugs
718,3325,2015-12-21,5.0,6.34,2.0,53.6,14.0,0.0,6.0,0.4,2015,Musculo-Skeletal System Drugs
719,3326,2015-12-22,5.66,0.0,5.0,48.0,6.0,0.0,13.0,1.0,2015,Musculo-Skeletal System Drugs
720,3327,2015-12-23,3.33,4.01,2.3,28.8,3.0,0.0,0.0,0.0,2015,Musculo-Skeletal System Drugs
721,3328,2015-12-24,7.33,3.3960000000000004,5.0,28.3,5.0,0.0,16.0,0.0,2015,Musculo-Skeletal System Drugs
722,3329,2015-12-25,0.66,4.66,2.0,20.662,28.0,2.0,1.0,1.0,2015,Musculo-Skeletal System Drugs
723,3330,2015-12-26,4.67,1.66,5.0,87.2,15.0,3.0,0.0,4.3,2015,Musculo-Skeletal System Drugs
724,3331,2015-12-27,5.33,6.792000000000001,5.2,63.5,4.0,0.0,14.0,4.6,2015,Musculo-Skeletal System Drugs
725,3332,2015-12-28,4.0,5.099,9.2,61.5,18.0,3.0,26.0,1.0,2015,Musculo-Skeletal System Drugs
726,3333,2015-12-29,10.67,2.33,2.0,71.6,9.0,0.0,2.0,3.0,2015,Musculo-Skeletal System Drugs
727,3334,2015-12-30,6.66,7.0889999999999995,2.0,56.4,12.0,0.0,4.0,2.0,2015,Musculo-Skeletal System Drugs
728,3335,2015-12-31,7.66,6.099,7.6,44.35,18.0,0.0,6.0,1.0,2015,Musculo-Skeletal System Drugs
729,3336,2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,Musculo-Skeletal System Drugs
730,3337,2016-02-01,0.34,1.02,1.0,51.2,0.0,1.0,5.0,5.0,2016,Musculo-Skeletal System Drugs
731,3338,2016-03-01,4.0,4.0,2.5,56.1,1.0,0.0,5.0,1.0,2016,Musculo-Skeletal System Drugs
732,3339,2016-04-01,7.33,5.99,6.0,46.6,6.0,0.0,12.0,1.0,2016,Musculo-Skeletal System Drugs
733,3340,2016-05-01,5.33,5.99,4.6,38.6,15.0,0.0,5.0,1.0,2016,Musculo-Skeletal System Drugs
734,3341,2016-06-01,6.66,3.0,6.0,61.9,2.0,0.0,12.0,2.0,2016,Musculo-Skeletal System Drugs
735,3342,2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,Musculo-Skeletal System Drugs
736,3343,2016-08-01,8.0,3.463,7.7,39.2,8.0,3.0,2.0,2.0,2016,Musculo-Skeletal System Drugs
737,3344,2016-09-01,7.33,2.66,5.0,88.3,9.0,0.0,3.0,3.0,2016,Musculo-Skeletal System Drugs
738,3345,2016-10-01,7.0,4.033,12.0,67.6,8.0,1.0,1.0,0.0,2016,Musculo-Skeletal System Drugs
739,3346,2016-11-01,9.34,5.66,7.0,64.9,18.0,0.0,0.0,4.0,2016,Musculo-Skeletal System Drugs
740,3347,2016-12-01,12.0,3.1319999999999997,12.0,61.35,8.0,0.0,0.0,0.0,2016,Musculo-Skeletal System Drugs
741,3348,2016-01-13,9.0,1.66,5.0,41.7,15.0,0.0,1.0,2.0,2016,Musculo-Skeletal System Drugs
742,3349,2016-01-14,2.0,5.155,6.0,69.0,18.0,0.0,8.0,2.0,2016,Musculo-Skeletal System Drugs
743,3350,2016-01-15,8.98,4.66,10.6,18.1,8.0,0.0,10.0,2.0,2016,Musculo-Skeletal System Drugs
744,3351,2016-01-16,3.34,5.34,6.0,63.6,11.0,0.0,2.0,1.0,2016,Musculo-Skeletal System Drugs
745,3352,2016-01-17,7.01,1.604,3.9,46.6,4.0,0.0,0.0,1.0,2016,Musculo-Skeletal System Drugs
746,3353,2016-01-18,3.5,2.99,4.3,62.8,3.0,2.0,9.0,2.0,2016,Musculo-Skeletal System Drugs
747,3354,2016-01-19,6.0,5.66,6.0,49.8,7.0,0.0,0.0,3.0,2016,Musculo-Skeletal System Drugs
748,3355,2016-01-20,2.32,3.363,3.0,15.1,29.0,3.0,3.0,2.0,2016,Musculo-Skeletal System Drugs
749,3356,2016-01-21,5.0,1.43,1.0,68.4,8.0,4.0,6.0,5.0,2016,Musculo-Skeletal System Drugs
750,3357,2016-01-22,0.83,7.678,7.0,39.5,11.0,0.0,10.0,0.0,2016,Musculo-Skeletal System Drugs
751,3358,2016-01-23,6.33,6.132000000000001,7.1,36.8,4.0,0.0,6.0,2.0,2016,Musculo-Skeletal System Drugs
752,3359,2016-01-24,4.0,6.122000000000001,11.3,48.1,3.0,0.0,12.0,3.0,2016,Musculo-Skeletal System Drugs
753,3360,2016-01-25,10.33,4.26,4.0,46.95,12.0,2.0,10.0,1.5,2016,Musculo-Skeletal System Drugs
754,3361,2016-01-26,5.68,4.069,8.0,30.3,9.0,0.0,15.0,0.0,2016,Musculo-Skeletal System Drugs
755,3362,2016-01-27,4.34,4.428999999999999,3.4,30.061999999999998,18.0,5.0,5.0,2.0,2016,Musculo-Skeletal System Drugs
756,3363,2016-01-28,7.33,6.66,4.4,33.0,4.0,0.0,4.0,3.0,2016,Musculo-Skeletal System Drugs
757,3364,2016-01-29,5.0,8.67,8.6,74.4,3.0,1.0,17.0,2.0,2016,Musculo-Skeletal System Drugs
758,3365,2016-01-30,9.0,4.428999999999999,5.3,47.461999999999996,3.0,2.0,5.0,2.0,2016,Musculo-Skeletal System Drugs
759,3366,2016-01-31,4.33,5.143,3.8,78.9,3.0,0.0,6.0,2.0,2016,Musculo-Skeletal System Drugs
760,3367,2016-01-02,6.34,5.0,7.1,18.0,7.0,0.0,6.0,1.0,2016,Musculo-Skeletal System Drugs
761,3368,2016-02-02,14.33,4.878,1.3,39.0,6.0,0.0,0.0,1.0,2016,Musculo-Skeletal System Drugs
762,3369,2016-03-02,8.0,6.693,11.5,39.062,11.0,5.0,0.0,0.0,2016,Musculo-Skeletal System Drugs
763,3370,2016-04-02,8.34,4.0,4.2,28.8,5.0,0.0,4.0,4.0,2016,Musculo-Skeletal System Drugs
764,3371,2016-05-02,5.66,2.0,3.0,51.6,7.0,0.0,3.0,1.0,2016,Musculo-Skeletal System Drugs
765,3372,2016-06-02,5.33,10.33,3.0,57.162,1.0,0.0,11.0,2.0,2016,Musculo-Skeletal System Drugs
766,3373,2016-07-02,3.66,6.056,4.5,88.2,2.0,0.0,13.0,1.0,2016,Musculo-Skeletal System Drugs
767,3374,2016-08-02,6.33,6.99,5.5,28.038,5.0,0.0,23.0,1.0,2016,Musculo-Skeletal System Drugs
